,Tags,rata_disability_2013_presence,rata_disability_2013_type,rata_disability_2014_presence,rata_disability_2014_type,rata_disability_2015_presence,rata_disability_2015_type,rata_disability_2016_presence,rata_disability_2016_type,rata_disability_2017_presence,rata_disability_2017_type,rata_disability_2018_presence,rata_disability_2018_type,rata_disability_2021_presence,rata_disability_2021_type,rata_disability_current_expanded_full_presence,rata_disability_current_expanded_full_type,FROM_rata_disability_2013_TO__Action,FROM_rata_disability_2014_TO__Action,FROM_rata_disability_2015_TO__Action,FROM_rata_disability_2016_TO__Action,FROM_rata_disability_2017_TO__Action,FROM_rata_disability_2018_TO__Action,FROM_rata_disability_2021_TO_rata_disability_current_expanded_full_Action,,,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2021,2021-2022
31,Blind Hiccup Horrendous Haddock III,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,canonical_tag,TRUE,canonical_tag,,,,,,addition,,,,,,,,,,
32,past insecurities related to a physical disability,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,freeform_tag,,,,,,,addition,,,,,,,,,
33,Disabled Ranboo (Video Blogging RPF),FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,canonical_tag,,,,,,,canonized,,,,,,,,,
34,Deaf!Jean,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,syn_tag,,,,,,,addition,,,,,,,,,
35,zayn is mute,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,syn_tag,,,,,,,addition,,,,,,,,,
36,Selectively Mute Todoroki Shouto_syn_tags,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,connection_node,,,,,,,addition,,,,,,,,,
37,Mute Ian,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,syn_tag,,,,,,,addition,,,,,,,,,
38,Mutes,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,syn_tag,,,,,,,addition,,,,,,,,,
39,Disabled Ranboo,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,syn_tag,,,,,,,addition,,,,,,,,,
40,Deaf!TonyStark,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,syn_tag,,,,,,,addition,,,,,,,,,
41,Deaf Miyuki Kazuya_syn_tags,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,connection_node,,,,,,,addition,,,,,,,,,
42,BlindDip,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,syn_tag,,,,,,,addition,,,,,,,,,
43,Mute Ariel (Disney)_syn_tags,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,connection_node,,,,,,,addition,,,,,,,,,
44,Mute RK900,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,syn_tag,,,,,,,addition,,,,,,,,,
45,Part of my deaf!Jon series that I'm writing now apparently,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,syn_tag,,,,,,,addition,,,,,,,,,
46,Disabled Park Jimin,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,syn_tag,,,,,,,addition,,,,,,,,,
47,aveugle,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,syn_tag,,,,,,,addition,,,,,,,,,
48,"Selectively Mute Jonathan ""Jon"" Sims | The Archivist",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,canonical_tag,TRUE,canonical_tag,,,,,,addition,,,,,,,,,,
49,mute!ashton,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,syn_tag,,,,,,,addition,,,,,,,,,
50,mention of blindness without correction,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,syn_tag,,,,,,,addition,,,,,,,,,
51,Mute Eddie Kaspbrak_syn_tags,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,connection_node,,,,,,,addition,,,,,,,,,
52,mentions of disability,FALSE,,FALSE,,TRUE,syn_tag,TRUE,syn_tag,TRUE,syn_tag,TRUE,syn_tag,TRUE,syn_tag,TRUE,syn_tag,,addition,,,,,,,,,,,,,,
53,Mute Harry_syn_tags,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,connection_node,,,,,,,addition,,,,,,,,,
54,Blind Connor (Detroit: Become Human),FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,canonical_tag,TRUE,canonical_tag,,,,,,addition,,,,,,,,,,
