,Tags,rata_disability_2013.json_presence,rata_disability_2013.json_type,rata_disability_2014.json_presence,rata_disability_2014.json_type,rata_disability_2015.json_presence,rata_disability_2015.json_type,rata_disability_2016.json_presence,rata_disability_2016.json_type,rata_disability_2017.json_presence,rata_disability_2017.json_type,rata_disability_2018.json_presence,rata_disability_2018.json_type,rata_disability_2021.json_presence,rata_disability_2021.json_type,rata_disability_current_expanded_full.json_presence,rata_disability_current_expanded_full.json_type
3098,"Mute Jonathan ""Jon"" Sims | The Archivist",False,,False,,False,,False,,False,,False,,True,canonical_tag,True,canonical_tag
3099,Blind Jim,False,,False,,False,,True,canonical_tag,True,canonical_tag,False,,False,,False,
3100,Mute-ish!Zuko,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3101,Reggie is dyslexic (mentioned),False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3102,Dick is Deaf,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3103,Mentions of physical disability,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3104,deaf!neil,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3105,blind erik,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3106,Blind!Jack Origin Musings,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3107,Deaf Morality | Patton Sanders,False,,False,,False,,False,,False,,False,,True,canonical_tag,True,canonical_tag
3108,mute!Sam,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3109,Disability Written By Disabled Writer,False,,False,,False,,False,,False,,False,,False,,True,freeform_tag
3110,intellectual disability slurs,False,,False,,False,,False,,False,,False,,False,,True,freeform_tag
3111,dealing with her disability,False,,False,,False,,False,,True,synned_tag,True,synned_tag,True,synned_tag,True,synned_tag
3112,Temporarily Deaf Derek,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3113,Mute Marco Bott_synned_tags,False,,False,,False,,False,,False,,False,,False,,True,connection_node
3114,Partial-Deafness,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3115,Mute Nezuko,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3116,Yoongi is deaf,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3117,Deaf Original Percival Graves,False,,False,,False,,False,,False,,False,,True,canonical_tag,True,canonical_tag
3118,Deaf Andrew Minyard_synned_tags,False,,False,,False,,False,,False,,False,,False,,True,connection_node
3119,Eddie lost an arm in the battle against the clown,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3120,Deaf Soldier,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3121,selective Mute Mark,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3122,because we shouldnt erase alexs disability,False,,False,,False,,False,,False,,False,,False,,True,freeform_tag
3123,Legally Blind Senju Tobirama,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3124,deaf bakugou (but it's not relevant),False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3125,i don't think it's explicitly mentioned but mic is deaf,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3126,disabled lead,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3127,Disability 'verse,False,,False,,False,,False,,False,,False,,False,,True,freeform_tag
3128,John is now a mute,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3129,george is blind. he doesnt have eyes,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3130,sollux goes blind,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3131,Magical Disability Aid,False,,False,,False,,False,,False,,False,,False,,True,freeform_tag
3132,Blind Hinata Shouyou_synned_tags,False,,False,,False,,False,,False,,False,,False,,True,connection_node
3133,Deaf Remus,False,,False,,False,,True,canonical_tag,False,,False,,False,,True,synned_tag
3134,Mute Steve Rogers_synned_tags,False,,False,,False,,False,,False,,False,,False,,True,connection_node
3135,main character disabled,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3136,blind!Obi-Wan,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3137,Blind!John,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3138,Coping with a new disability,False,,False,,False,,False,,False,,False,,False,,True,freeform_tag
3139,Steve is a disabled person,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3140,partially deaf! miyuki au,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3141,The Blind Boy,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3142,Blind!Bilbo,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3143,Dyslexic Mickey Milkovich_synned_tags,False,,False,,False,,False,,False,,False,,False,,True,connection_node
3144,Mention of Injury Resulting in a Disability,False,,False,,False,,False,,False,,False,,False,,True,freeform_tag
3145,聋子dean,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3146,John Laurens is Blind,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3147,Temporary loss of voice,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3148,cw: disability,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3149,who is mute,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3150,Johnny Joestar is Still Disabled (but not as much),False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3151,Bakugo is deaf,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3152,selective mute bruno madrigal,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3153,Selectively Mute Ranboo (Video Blogging RPF)_synned_tags,False,,False,,False,,False,,False,,False,,False,,True,connection_node
3154,Blind Tubbo,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3155,race is deaf,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3156,Mute!Louis,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3157,Deaf James T*d* Kirk_synned_tags,False,,False,,False,,False,,False,,False,,False,,True,connection_node
3158,Phil is mute,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3159,Au disabled character,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3160,Its Actually Teen Wolf But Stiles Was Born Blind,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3161,Mute Bakugou Katsuki,False,,False,,False,,False,,False,,False,,True,canonical_tag,True,canonical_tag
3162,overcoming said disability,False,,False,,False,,False,,False,,False,,False,,True,freeform_tag
3163,aveugle,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
3164,Mute Jason Voorhees_synned_tags,False,,False,,False,,False,,False,,False,,False,,True,connection_node
3165,Deaf Akaashi Keiji,False,,False,,False,,False,,False,,False,,True,canonical_tag,True,canonical_tag
